Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,gps,img_url
Menara Gardens and Pavilion,"AddressAvenue de la Menara, Marrakech 40000 Morocco","The Menara is a vast garden planted with olive trees laid out under the Almoahades dynasty about 45 minutes walk from the Jemaa el-Fna square, in the center of Marrakech, Morocco. At the heart of this garden, a large basin at the foot of a pavilion serves as a water reservoir to irrigate crops.",http://www.jardin-menara.com/,,12:00 AM - 11:59 PM,Historic Walking Areas • Gardens,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Menara Gardens and Pavilion ; AddressAvenue de la Menara, Marrakech 40000 Morocco ; The Menara is a vast garden planted with olive trees laid out under the Almoahades dynasty about 45 minutes walk from the Jemaa el-Fna square, in the center of Marrakech, Morocco. At the heart of this garden, a large basin at the foot of a pavilion serves as a water reservoir to irrigate crops. ; Historic Walking Areas • Gardens ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",/maps/dir//Menara+Gardens+and+Pavilion+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafeee649f63e07:0x5d8e3627f4ecc87e?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/18/83/e8/00/dar-cherifa.jpg
Mellah," Mellah, Medina 40000, Marrakech","This is the Jewish neighborhood in Marrakech. Here you´ll find the Lezama Synagoge, an important historical site, as well as other eating and shopping opportunities.",,< 1 hour,,Historic Sites,"Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,BlackChich Cafe Restaurant,Le Medina Privilege Riad & Spa Restaurant,","Palácio da Bahia,Slat Al Azama Synagogue,Place des Ferblantiers,Miaara Jewish Cemetery,El Badi Palace,Musée Tiskiwin,Dar Si Said Museum,Jemaa el-Fnaa,Medina of Marrakesh,","Mellah ;  Mellah, Medina 40000, Marrakech ; This is the Jewish neighborhood in Marrakech. Here you´ll find the Lezama Synagoge, an important historical site, as well as other eating and shopping opportunities. ; Historic Sites ; Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,BlackChich Cafe Restaurant,Le Medina Privilege Riad & Spa Restaurant,",,https://media-cdn.tripadvisor.com/media/photo-s/1f/36/5a/fd/entrepotes.jpg
Tanneries,"J2MC+P83, avenue Bab El Debbagh, Marrakech 40000",Leather tanning is the major industry in the city. It’s definitely worth a walk through this neighborhood.,http://www.trek-morocco-desert.co.uk/,< 1 hour,,Neighborhoods,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,Menara Gardens and Pavilion,","Tanneries ; J2MC+P83, avenue Bab El Debbagh, Marrakech 40000 ; Leather tanning is the major industry in the city. It’s definitely worth a walk through this neighborhood. ; Neighborhoods ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",,https://media-cdn.tripadvisor.com/media/photo-s/16/a8/bf/91/photo3jpg.jpg
La Palmeraie,"Sidi Yahya La Palmeraie, Marrakech 40000","Currently, the palm grove is considered a luxury area; it is at the centre of an urban complex that includes residences, hotels and golf courses. For the moment, the palm grove still retains its mystical atmosphere.

The palm grove is still a source of wealth for the city. Apart from the dates and wood that are extracted from the palm trees, the latter create a favorable ecosystem for the fruit trees and plantations that grow in the palm grove.",+212666-238473,,,Neighborhoods • Points of Interest & Landmarks • Parks,", '', ,","Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,The Orientalist Museum of Marrakech,Boucharouite Museum,Dar El Bacha - Musee des Confluences,Maison de la Photographie,","La Palmeraie ; Sidi Yahya La Palmeraie, Marrakech 40000 ; Currently, the palm grove is considered a luxury area; it is at the centre of an urban complex that includes residences, hotels and golf courses. For the moment, the palm grove still retains its mystical atmosphere.

The palm grove is still a source of wealth for the city. Apart from the dates and wood that are extracted from the palm trees, the latter create a favorable ecosystem for the fruit trees and plantations that grow in the palm grove. ; Neighborhoods • Points of Interest & Landmarks • Parks ; , '', ,",/maps/dir//La+Palmeraie+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafede7100a5fe7:0x71eb32768292736c?sa=X,https://www.darzaman.co.uk/wp-content/uploads/2013/05/dar-zellij-marrakech.jpg
Bab Agnaou,"AddressRue Oqba Ben Nafaa, Marrakech 40000 Morocco","Bab Agnaou is one of the nineteen Babs of Marrakech, Morocco. It was built in the 12th century, at the time of the Almohad dynasty.
Bab Agnou is the entrance to the royal kasbah in the southern part of the medina of Marrakech.",,< 1 hour,,Historic Sites • Points of Interest & Landmarks,"Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Le Medina Privilege Riad & Spa Restaurant,La Table de La Sultana,Mazel مزال Cafe,Dar Anika Kitchen,Le Makassar,ViaVia Morocco Marrakech,","Saadian Tombs,Palácio da Bahia,El Badi Palace,Jemaa el-Fnaa,Cactus Thiemann,Koutoubia Mosque,Medina of Marrakesh,Musée Tiskiwin,Place des Ferblantiers,","Bab Agnaou ; AddressRue Oqba Ben Nafaa, Marrakech 40000 Morocco ; Bab Agnaou is one of the nineteen Babs of Marrakech, Morocco. It was built in the 12th century, at the time of the Almohad dynasty.
Bab Agnou is the entrance to the royal kasbah in the southern part of the medina of Marrakech. ; Historic Sites • Points of Interest & Landmarks ; Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Le Medina Privilege Riad & Spa Restaurant,La Table de La Sultana,Mazel مزال Cafe,Dar Anika Kitchen,Le Makassar,ViaVia Morocco Marrakech,",,https://media-cdn.tripadvisor.com/media/photo-s/19/f0/44/b3/chez-yassine.jpg
Slat Al Azama Synagogue,"AddressDerb Saka, Marrakech 40000 Morocco","The Salat al-Azama Synagogue or Slat el Azama, Al Zama or Lazama is a synagogue located in the city of Marrakech, Morocco.
Initially built in 1492, the year in which the Jews were expelled from Spain, the current building dates from the turn of the 19th century and the 20th century.",https://www.tripadvisor.com/RestaurantsNear-g293734-d13142841-Slat_Al_Azama_Synagogue-Marrakech_Marrakech_Safi.html,,,ligious Sites,"Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,BlackChich Cafe Restaurant,Le Tanjia,Fox Art Food,Casa Lalla Restaurant,Koulchi Zine,Le Medina Privilege Riad & Spa Restaurant,","Palácio da Bahia,Mellah,El Badi Palace,Place des Ferblantiers,Musée Tiskiwin,Dar Si Said Museum,Miaara Jewish Cemetery,Jemaa el-Fnaa,Cactus Thiemann,","Slat Al Azama Synagogue ; AddressDerb Saka, Marrakech 40000 Morocco ; The Salat al-Azama Synagogue or Slat el Azama, Al Zama or Lazama is a synagogue located in the city of Marrakech, Morocco.
Initially built in 1492, the year in which the Jews were expelled from Spain, the current building dates from the turn of the 19th century and the 20th century. ; ligious Sites ; Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,BlackChich Cafe Restaurant,Le Tanjia,Fox Art Food,Casa Lalla Restaurant,Koulchi Zine,Le Medina Privilege Riad & Spa Restaurant,",/maps/dir//Salat+Al+Azama+Synagogue+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4797f85f7b:0x3780b550a408289?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1a/7c/6e/e7/welcome-to-our-rooftop.jpg
Miaara Jewish Cemetery,"Av. Taoulat El Miara, Marrakech 45000","Located in the originally Jewish quarter of Mellah , the Jewish cemetery of Miaara bears witness to the long history of the Jewish community in Marrakech . 
Over 500 years old , this vast space contains tombs with a simple appearance and varying sizes , dating from several centuries as well as a few years . 
On the left are many anonymous graves , testimony of the epidemics that raged in the city forcing a rapid burial of the  bodies .",http://www.cimetierejuifmarrakech.com/,,,Cemeteries,"Restaurant Angsana Si Said,Mazel مزال Cafe,Le Tanjia,La Table Al Badia at Riad Al Badia,Dar Anika Kitchen,BlackChich Cafe Restaurant,A.Montana,Naranj,Casa Lalla Restaurant,","Palácio da Bahia,Mellah,Musée Tiskiwin,Dar Si Said Museum,Slat Al Azama Synagogue,El Badi Palace,Place des Ferblantiers,Jemaa el-Fnaa,Sahara Riders,","Miaara Jewish Cemetery ; Av. Taoulat El Miara, Marrakech 45000 ; Located in the originally Jewish quarter of Mellah , the Jewish cemetery of Miaara bears witness to the long history of the Jewish community in Marrakech . 
Over 500 years old , this vast space contains tombs with a simple appearance and varying sizes , dating from several centuries as well as a few years . 
On the left are many anonymous graves , testimony of the epidemics that raged in the city forcing a rapid burial of the  bodies . ; Cemeteries ; Restaurant Angsana Si Said,Mazel مزال Cafe,Le Tanjia,La Table Al Badia at Riad Al Badia,Dar Anika Kitchen,BlackChich Cafe Restaurant,A.Montana,Naranj,Casa Lalla Restaurant,",,https://media-cdn.tripadvisor.com/media/photo-s/1c/5a/f9/04/roti-d-or.jpg
Paroisse des Saints Martyrs,"JXHV+V86, Rue de Imam Ali, Marrakech 40020",The Church of the Holy Martyrs is a Catholic church located in the Guéliz district of Marrakech. It is the only church in the region. It depends on the archdiocese of Rabat.,http://www.terremaroc.com/articolo-tutte-le-informazioni-culti-ed-edifici-religiosi-marrakech-la-chiesa-cattolica-news-_197.html,1-2 hours,6:00 PM - 7:30 PM,Points of Interest & Landmarks • Churches & Cathedrals,"Gm Cafe Gourmet,L'Ô A LA BOUCHE - Marrakech,Exotic Bali,Zeitoun Guéliz,Katsura,Dameh,16 Cafe,Restaurant Red House,L'Adresse Gueliz,",", '', ,","Paroisse des Saints Martyrs ; JXHV+V86, Rue de Imam Ali, Marrakech 40020 ; The Church of the Holy Martyrs is a Catholic church located in the Guéliz district of Marrakech. It is the only church in the region. It depends on the archdiocese of Rabat. ; Points of Interest & Landmarks • Churches & Cathedrals ; Gm Cafe Gourmet,L'Ô A LA BOUCHE - Marrakech,Exotic Bali,Zeitoun Guéliz,Katsura,Dameh,16 Cafe,Restaurant Red House,L'Adresse Gueliz,",/maps/dir//Paroisse+des+Saints+Martyrs+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8b13f52e53:0x136f377b75ea3953?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/0f/00/c7/15/vu-depuis-la-table-de.jpg
Kasbah Mosque,"23, rue de la Kasbah , marrakech 40000, Morocco","The Kasbah Mosque of Marrakech, also known as the Moulay El Yazid Mosque, the Mansouria Mosque, its founder's laqab, or the Golden Apple Mosque is a mosque originally built by the Almohad Caliph Yaqub al-Mansur in 1185-1190.",,1-2 hours,,ligious Sites,"Le Medina Privilege Riad & Spa Restaurant,Le Makassar,Les Jardins de la Medina,Cafe Clock,La Table de La Sultana,Zeitoun Cafe Kasbah,La Table de La Kasbah,Mazel مزال Cafe,Le Jasmin Restaurant and Bar,","Palácio da Bahia,Saadian Tombs,Cactus Thiemann,El Badi Palace,Bab Agnaou,Jemaa el-Fnaa,Medina of Marrakesh,Mellah,Jardin Majorelle,","Kasbah Mosque ; 23, rue de la Kasbah , marrakech 40000, Morocco ; The Kasbah Mosque of Marrakech, also known as the Moulay El Yazid Mosque, the Mansouria Mosque, its founder's laqab, or the Golden Apple Mosque is a mosque originally built by the Almohad Caliph Yaqub al-Mansur in 1185-1190. ; ligious Sites ; Le Medina Privilege Riad & Spa Restaurant,Le Makassar,Les Jardins de la Medina,Cafe Clock,La Table de La Sultana,Zeitoun Cafe Kasbah,La Table de La Kasbah,Mazel مزال Cafe,Le Jasmin Restaurant and Bar,",,https://media-cdn.tripadvisor.com/media/photo-s/19/5c/26/21/devanture-de-corner-cafe.jpg
Marrakech Ramparts,"Marrakech 40000 , Morocco",These are the walls that surround the city. Circle them on foot or on a rented bike.,,1-2 hours,12:00 AM - 11:59 PM,Historic Sites • Points of Interest & Landmarks • Historic Walking Areas,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Medersa Ben Youssef,Menara Gardens and Pavilion,","Marrakech Ramparts ; Marrakech 40000 , Morocco ; These are the walls that surround the city. Circle them on foot or on a rented bike. ; Historic Sites • Points of Interest & Landmarks • Historic Walking Areas ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",,https://media-cdn.tripadvisor.com/media/photo-p/13/47/87/d6/dar-chef.jpg
