,Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,tfidf,id,gps
245,Le Caspien,+212 5244-22282,http://lecaspien-hotel.com/," In case the rain took you by surprise during the promenade around Les Secrets Hammam&spa, stop by this bar. If you have never tried Mediterranean and Moroccan cuisines, you should order a table and try the menu at Le Caspien. As it is known from the guests' comments, good fish are must-try here. A number of visitors consider the staff patient. The cool service is something these restaurateurs care about. ","12 Rue Lobnane In the Hotel, Marrakech 40000 Morocco","Mediterranean, Moroccan","Booking ,", ,more than MAD 510,,"Olympia Tours,Les Secrets Hammam&spa,Magnificent Morocco - Day Tours,Morkosh Tours,","Hotel Le Caspien,Les Trois Palmiers,Moroccan House Hotel,Villa El Gada,","Le Tire Bouchon Marrakech,Le 68 Bar A Vin,Ristorante Italiano Casanova,Catanzaro,", ,+212 5244-22282,"Le Caspien ; 12 Rue Lobnane In the Hotel, Marrakech 40000 Morocco ;  ;  In case the rain took you by surprise during the promenade around Les Secrets Hammam&spa, stop by this bar. If you have never tried Mediterranean and Moroccan cuisines, you should order a table and try the menu at Le Caspien. As it is known from the guests' comments, good fish are must-try here. A number of visitors consider the staff patient. The cool service is something these restaurateurs care about.  ; Mediterranean, Moroccan ;   ; Booking , ;   ; Olympia Tours,Les Secrets Hammam&spa,Magnificent Morocco - Day Tours,Morkosh Tours, ; Hotel Le Caspien,Les Trois Palmiers,Moroccan House Hotel,Villa El Gada,","le,caspien,rue,lobnane,hotel,marrakech,morocco,mediterranean,moroccan,booking,olympia,tour,le,secret,hammam,spa,magnificent,morocco,day,tour,morkosh,tour,hotel,le,caspien,les,trois,palmiers,moroccan,house,hotel,villa,el,gada",245,/maps/dir//Le+Caspien+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8eea217205:0xa460916b3f260e8b?sa=X
246,Myah Bay,+212 660-724094,http://www.myahbaymarrakech.com/,"Near the Menara, on the road to the airport, the Myah Bay will offer you captivating view of the landscapes of the Atlas. This place is the perfect way to enjoy delicious meals in a magical atmosphereThe team MYAH BAY Marrakech is pleased to welcome you.","Askejour Route de l'Aéroport, Marrakech 40000 Morocco","Moroccan, Steakhouse, International","Serves Alcohol, Full Bar, Outdoor Seating, Seating, Parking Available, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Waterfront","Dinner, Late Night",MAD 152 - MAD 616,10AM-6AM,"Observatoire Astronomie - Centre Culturel Atlas Golf Marrakech,Morocco Great Tours,Marrakech Airport Transfer,2R Pure Travel,","Palais Soltan Riad & Spa,Oasis Lodges,Savoy Le Grand Hotel,Four Seasons Resort Marrakech,","Atlas Golf Marrakech,O Mammy Burger Marrakech,The Queen Victoria,L'esplanade Marrakech.,", ,+212 660-724094,"Myah Bay ; Askejour Route de l'Aéroport, Marrakech 40000 Morocco ;  ; Near the Menara, on the road to the airport, the Myah Bay will offer you captivating view of the landscapes of the Atlas. This place is the perfect way to enjoy delicious meals in a magical atmosphereThe team MYAH BAY Marrakech is pleased to welcome you. ; Moroccan, Steakhouse, International ; Dinner, Late Night ; Serves Alcohol, Full Bar, Outdoor Seating, Seating, Parking Available, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Waterfront ;   ; Observatoire Astronomie - Centre Culturel Atlas Golf Marrakech,Morocco Great Tours,Marrakech Airport Transfer,2R Pure Travel, ; Palais Soltan Riad & Spa,Oasis Lodges,Savoy Le Grand Hotel,Four Seasons Resort Marrakech,","myah,bay,askejour,route,de,marrakech,morocco,moroccan,steakhouse,international,dinner,late,night,serve,alcohol,full,bar,outdoor,seating,seating,park,available,wine,beer,free,wifi,accept,credit,card,table,service,live,music,waterfront,observatoire,astronomie,centre,culturel,atlas,golf,marrakech,morocco,great,tour,marrakech,airport,pure,travel,palais,soltan,riad,spa,oasis,lodge,savoy,le,grand,hotel,four,season,resort,marrakech",246,/maps/dir//Myah+Bay+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef1c67f622cd:0xc925d1efd8af9ff7?sa=X
247,"Sesamo, Royal Mansour Marrakech",+212 52980-8282,http://www.royalmansour.com/restauration/sesamo/,"Royal Mansour Marrakech joins forces with the Alajmo group to offer the best of Italian cuisine in the heart of the ocher city. Together, they inaugurated Sesamo, the Palace's Italian restaurant, which takes you to the heart of a unique gourmet experience, in a setting where all of Italy is told to you.","Rue Abou Abbas El Sebti Royal Mansour Marrakech, Marrakech 40000 Morocco",International,"Outdoor seating , Wi-Fi , Parking  , Booking , Wheelchair accessible , ", ,more than MAD 510,7AM-11AM12:30PM-6PM,"Koutoubia Mosque,La Grillardiere,Le Grand Casino de la Mamounia,Custom Morocco Tours,","Royal Mansour Marrakech,Hotel Chems,TUI BLUE Medina Gardens,Hotel & Ryads Barriere Le Naoura Marrakech,","Comptoir Darna Marrakech,Restaurant Red House,L'Orangerie & Lawrence Bar - Sofitel Marrakech,La Table, Royal Mansour Marrakech,", ,+212 52980-8282,"Sesamo, Royal Mansour Marrakech ; Rue Abou Abbas El Sebti Royal Mansour Marrakech, Marrakech 40000 Morocco ;  ; Royal Mansour Marrakech joins forces with the Alajmo group to offer the best of Italian cuisine in the heart of the ocher city. Together, they inaugurated Sesamo, the Palace's Italian restaurant, which takes you to the heart of a unique gourmet experience, in a setting where all of Italy is told to you. ; International ;   ; Outdoor seating , Wi-Fi , Parking  , Booking , Wheelchair accessible ,  ;   ; Koutoubia Mosque,La Grillardiere,Le Grand Casino de la Mamounia,Custom Morocco Tours, ; Royal Mansour Marrakech,Hotel Chems,TUI BLUE Medina Gardens,Hotel & Ryads Barriere Le Naoura Marrakech,","sesamo,royal,mansour,marrakech,rue,abou,abbas,el,sebti,royal,mansour,marrakech,marrakech,morocco,international,outdoor,seating,parking,booking,wheelchair,accessible,koutoubia,mosque,la,grillardiere,le,grand,casino,de,la,mamounia,custom,morocco,tour,royal,mansour,marrakech,hotel,chems,tui,blue,medina,garden,hotel,ryads,barriere,le,naoura,marrakech",247,"/maps/dir//Sesamo,+Royal+Mansour+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef8b73a7d2cf:0xd12dcd309c4f0783?sa=X"
248,Arous Acham,+212 661-323849,http://facebook.com/restaurantarousacham, This cafe is recommended to Mediterranean and Moroccan cuisine lovers. ,"Avenue Abdelkrim Khettabi, Marrakech 40000 Morocco","Mediterranean, Middle Eastern, Moroccan, Arabic","Сredit cards accepted , Delivery , Wi-Fi , Takeaway , Parking  , TV , Wheelchair accessible , ", ,up to MAD 100,12AM-11:59PM,"Merzouga Dunes,AA Quad/ Dromadaire Palmeraie,Marrakech Select Travel,Top Desert,","Hotel Marrakech le Semiramis,Le Tafilalet,Hotel Marrakech Le Tichka,Hotel Amine,","Saladbox,Restaurant Bouchahin,Le Canot Restaurant Marrakech,Pinnochio Gelato,", ,+212 661-323849,"Arous Acham ; Avenue Abdelkrim Khettabi, Marrakech 40000 Morocco ;  ;  This cafe is recommended to Mediterranean and Moroccan cuisine lovers.  ; Mediterranean, Middle Eastern, Moroccan, Arabic ;   ; Сredit cards accepted , Delivery , Wi-Fi , Takeaway , Parking  , TV , Wheelchair accessible ,  ;   ; Merzouga Dunes,AA Quad/ Dromadaire Palmeraie,Marrakech Select Travel,Top Desert, ; Hotel Marrakech le Semiramis,Le Tafilalet,Hotel Marrakech Le Tichka,Hotel Amine,","arous,acham,avenue,abdelkrim,khettabi,marrakech,morocco,mediterranean,middle,eastern,moroccan,arabic,сredit,card,accept,delivery,takeaway,park,tv,wheelchair,accessible,merzouga,dune,aa,dromadaire,palmeraie,marrakech,select,travel,top,desert,hotel,marrakech,le,semiramis,le,tafilalet,hotel,marrakech,le,tichka,hotel,amine",248,/maps/dir//Arous+Acham+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafed162fd0228b:0x220c1258b4dccaa2?sa=X
249,Le tanjiers,,," Among other Mediterranean and Moroccan cuisune places to visit, Le tanjiers can be one of the best. This place is recommended for the cool staff. ","Rue de Bahia, Marrakech Morocco","Mediterranean, Moroccan","Booking ,", , ,,"AdrouinAventure,Viajes Morocco,AGtours,Marrakech Tp,","Hotel Teranga,Hotel des Amis,Riad Mogador,Riad Akwass Targa,","Restaurant Naima,Le Piri Piri,Pastaz by Catanzaro,Restaurant Riad Hamdane,", , ,"Le tanjiers ; Rue de Bahia, Marrakech Morocco ;  ;  Among other Mediterranean and Moroccan cuisune places to visit, Le tanjiers can be one of the best. This place is recommended for the cool staff.  ; Mediterranean, Moroccan ;   ; Booking , ;   ; AdrouinAventure,Viajes Morocco,AGtours,Marrakech Tp, ; Hotel Teranga,Hotel des Amis,Riad Mogador,Riad Akwass Targa,","le,tanjiers,rue,de,bahia,marrakech,morocco,mediterranean,moroccan,booking,adrouinaventure,viajes,morocco,agtours,marrakech,tp,hotel,teranga,hotel,de,amis,riad,mogador,riad,akwass,targa",249,
250,Chesterfield Pub,05244-46401,," According to the comments, visitors usually like ordering good beer here. Most people find that the staff is energetic here. This bar offers you a great choice of dishes at attractive prices. The charming atmosphere has been highlighed by the clients. ","115 Avenue Mohammed VI, Marrakech 40020 Morocco",mixed,"Meals on site, Delivery", , MAD 100 - MAD 250,,"Cyber Parc Arsat Moulay Abdeslam,Menara Mall,Uncovered Morocco,Casino de Marrakech,","Palais Soltan Riad & Spa,Savoy Le Grand Hotel,Le Meridien N'Fis,Hotel El Andalous Lounge & Spa,","Buddha-Bar Marrakech,Malak Emeraude,Cocotte,Ice Rolls Marrakech,", ,05244-46401,"Chesterfield Pub ; 115 Avenue Mohammed VI, Marrakech 40020 Morocco ;  ;  According to the comments, visitors usually like ordering good beer here. Most people find that the staff is energetic here. This bar offers you a great choice of dishes at attractive prices. The charming atmosphere has been highlighed by the clients.  ; mixed ;   ; Meals on site, Delivery ;   ; Cyber Parc Arsat Moulay Abdeslam,Menara Mall,Uncovered Morocco,Casino de Marrakech, ; Palais Soltan Riad & Spa,Savoy Le Grand Hotel,Le Meridien N'Fis,Hotel El Andalous Lounge & Spa,","chesterfield,pub,avenue,mohammed,vi,marrakech,morocco,mixed,meal,site,delivery,cyber,parc,arsat,moulay,abdeslam,menara,mall,uncovered,morocco,casino,de,marrakech,palais,soltan,riad,spa,savoy,le,grand,hotel,le,meridien,hotel,el,andalous,lounge,spa",250,/maps/dir//Chesterfield+Pub+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8e3a5feed5:0xad7ebd57e98eb0e7?sa=X
251,Stork,0656-474517,," After visiting Bab Agnaou, you may have a meal at Stork. This place is known for offering Mediterranean and Moroccan cuisines. ","Rue de La Kasbah North end near the mosque, Marrakech Morocco","Mediterranean, Moroccan", , , ,,"Travels Morocco,Complexe d'Artisanat,Morocco Tour Guide,5 elements spa & bien-etre,","Riad Omara al Kasbah,Riad El Noujoum,Riad Jonan,Riad Emma,","Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,Le Makassar,", ,0656-474517,"Stork ; Rue de La Kasbah North end near the mosque, Marrakech Morocco ;  ;  After visiting Bab Agnaou, you may have a meal at Stork. This place is known for offering Mediterranean and Moroccan cuisines.  ; Mediterranean, Moroccan ;   ;   ;   ; Travels Morocco,Complexe d'Artisanat,Morocco Tour Guide,5 elements spa & bien-etre, ; Riad Omara al Kasbah,Riad El Noujoum,Riad Jonan,Riad Emma,","stork,rue,de,la,kasbah,north,end,near,mosque,marrakech,morocco,mediterranean,moroccan,travel,morocco,complexe,morocco,tour,element,spa,riad,omara,al,kasbah,riad,el,noujoum,riad,jonan,riad,emma",251,/maps/dir//Stork+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef2271904c25:0x2334ad7685fbdbbe?sa=X
252,Le Petit Suisse,+212 5244-22544,," Enjoy Les Secrets Hammam&spa by default, the clients' piece of advice is to come to this restaurant as well. Most people suppose that couscous is good. The competent staff works hard, stays positive and makes this place great. Prompt service is a strong point that plays a great role for the success of Le Petit Suisse. But this place has been rated below average by Google. ","180 Avenue Mohamed V Gueliz, Marrakech Morocco",mixed,"Takeaway ,", , MAD 100 - MAD 250,9AM-9PM,"Paroisse des Saints Martyrs,Custom Morocco Tours,Morocco Joy Travel,Baan Thai institut,","Hotel Racine,Stars Hotel,Maison D'hotes Darsor,Hotel Ibn Batouta,","Zeitoun Gueliz,Katsura,Dino Gelato Italiano,Le Bistrot La Boucherie,", ,+212 5244-22544,"Le Petit Suisse ; 180 Avenue Mohamed V Gueliz, Marrakech Morocco ;  ;  Enjoy Les Secrets Hammam&spa by default, the clients' piece of advice is to come to this restaurant as well. Most people suppose that couscous is good. The competent staff works hard, stays positive and makes this place great. Prompt service is a strong point that plays a great role for the success of Le Petit Suisse. But this place has been rated below average by Google.  ; mixed ;   ; Takeaway , ;   ; Paroisse des Saints Martyrs,Custom Morocco Tours,Morocco Joy Travel,Baan Thai institut, ; Hotel Racine,Stars Hotel,Maison D'hotes Darsor,Hotel Ibn Batouta,","le,petit,suisse,avenue,mohamed,gueliz,marrakech,morocco,mixed,takeaway,paroisse,des,saint,martyr,custom,morocco,tour,morocco,joy,travel,baan,thai,institut,hotel,racine,star,hotel,maison,darsor,hotel,ibn,batouta",252,/maps/dir//Le+Petit+Suisse+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8e85f71cb7:0x83bae36a6a04772c?sa=X
253,Yoka Sushi,+212 525-600202,https://restaurantguru.com/link/71756618," Ignore other places, discover the Japanese menu at Yoka Sushi. Many people mention that sushi is perfectly cooked. This place is recommended for the efficient staff. The nice service is something these restaurateurs care about. ","Atar 1 Mag N 2 Angle Av Med 5 et rue Mouatamid ben Abad, Marrakech 4000 Morocco","Asian, Japanese, Sushi","Delivery , Takeaway , Booking , ", , MAD 100 - MAD 250,12PM-11PM,"Desert Morocco Adventure,Marrakech Attractions,Chris Hair & Beauty Salon,Bollynails Institute,","Hotel Ibn Batouta,Stars Hotel,2Ciels Luxury Boutique Hotel & Spa,Hotel Racine,","L'O A LA BOUCHE - Marrakech,Exotic Bali,16 Cafe,L'Adresse Gueliz,", ,+212 525-600202,"Yoka Sushi ; Atar 1 Mag N 2 Angle Av Med 5 et rue Mouatamid ben Abad, Marrakech 4000 Morocco ;  ;  Ignore other places, discover the Japanese menu at Yoka Sushi. Many people mention that sushi is perfectly cooked. This place is recommended for the efficient staff. The nice service is something these restaurateurs care about.  ; Asian, Japanese, Sushi ;   ; Delivery , Takeaway , Booking ,  ;   ; Desert Morocco Adventure,Marrakech Attractions,Chris Hair & Beauty Salon,Bollynails Institute, ; Hotel Ibn Batouta,Stars Hotel,2Ciels Luxury Boutique Hotel & Spa,Hotel Racine,","yoka,sushi,atar,mag,angle,av,med,et,rue,mouatamid,ben,abad,marrakech,morocco,asian,japanese,sushi,delivery,takeaway,booking,desert,morocco,adventure,marrakech,attraction,chris,hair,beauty,salon,bollynails,institute,hotel,ibn,batouta,star,luxury,boutique,hotel,spa,hotel,racine",253,/maps/dir//Yoka+Sushi+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefdc794f7615:0xf10dfe5292683d32?sa=X
254,Matcha Marrakech, +212525600202 ,, You can come to this restaurant after visiting Gueliz. The success of Matcha Marrakech wouldn't be possible without the good staff. Enjoyable service is something that people highlight in their comments. But this place has been rated below average by Google. ,"Corner of food stalls jemaa el fnaa market Right hand corner facing the restaurants in the square, Marrakech Morocco",Asian,"Delivery , Takeaway , Сredit cards accepted , Wi-Fi , Parking  , Wheelchair accessible , ", , ,12PM-11PM,",,",",,",",,", , +212525600202 ,"Matcha Marrakech ; Corner of food stalls jemaa el fnaa market Right hand corner facing the restaurants in the square, Marrakech Morocco ;  ;  You can come to this restaurant after visiting Gueliz. The success of Matcha Marrakech wouldn't be possible without the good staff. Enjoyable service is something that people highlight in their comments. But this place has been rated below average by Google.  ; Asian ;   ; Delivery , Takeaway , Сredit cards accepted , Wi-Fi , Parking  , Wheelchair accessible ,  ;   ; ,, ; ,,","matcha,marrakech,corner,food,stall,jemaa,el,fnaa,market,right,hand,corner,face,restaurant,square,marrakech,morocco,asian,delivery,takeaway,сredit,card,accept,parking,wheelchair,accessible",254,/maps/dir//Matcha+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef7b2dbc3603:0x389c07549b9e033e?sa=X
255,Stall 32,+212 650-444403,http://www.facebook.com/samovarkech/," Once the promenade around the Mechouar Square of Allegiance is over, visit Stall 32. If you appreciate Mediterranean and Moroccan cuisines, come to this bbq. Stall 32 may please you with perfectly cooked sausages and tasty soup. ","Boulevard Moulay Rachid, Marrakech 40000 Morocco","Italian, Moroccan, Cafe, Mediterranean, European","Seating, Table Service","Breakfast, Brunch, Drinks",MAD 50 - MAD 120,,"Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Morocco Travel Packages,","Hotel Atlas,Riad Art & Emotions Boutique Hotel & Spa,Marrakech Hotel Cecil 2,Hotel Riad Marraplace,","Taj Moroccan Food,Snack Grand Atlas,La Patisserie des Princes,Snack Adam,", ,+212 650-444403,"Stall 32 ; Boulevard Moulay Rachid, Marrakech 40000 Morocco ;  ;  Once the promenade around the Mechouar Square of Allegiance is over, visit Stall 32. If you appreciate Mediterranean and Moroccan cuisines, come to this bbq. Stall 32 may please you with perfectly cooked sausages and tasty soup.  ; Italian, Moroccan, Cafe, Mediterranean, European ; Breakfast, Brunch, Drinks ; Seating, Table Service ;   ; Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Morocco Travel Packages, ; Hotel Atlas,Riad Art & Emotions Boutique Hotel & Spa,Marrakech Hotel Cecil 2,Hotel Riad Marraplace,","stall,boulevard,moulay,rachid,marrakech,morocco,italian,moroccan,cafe,mediterranean,european,breakfast,brunch,drink,seat,table,service,jemaa,agadir,activity,food,market,marrakech,morocco,travel,package,hotel,atlas,riad,art,emotion,boutique,hotel,spa,marrakech,hotel,cecil,hotel,riad,marraplace",255,
256,Metou • Cuisine d'Asie,+212 649-995354,http://www.metoucuisinedasie.com,"METOU - CUISINE D’ASIE is a charming little canteen, where gourmets and gourmets who love Asian cuisine will finally find what they are looking for! All the flavors and scents of Vietnam, China, Laos and Thailand blend delicately through a selection of traditional and authentic dishes. With more than 30 years of experience, Chef Metou will make your taste buds travel!","21-22 Centre Commercial Annakhil,, Marrakech 40000 Morocco","Chinese, Asian, Thai, Vietnamese","Takeout, Reservations, Seating, Wheelchair Accessible, Accepts Credit Cards","Lunch, Dinner, Brunch, Late Night, Drinks",MAD 40 - MAD 119,11:30AM-11PM,"Morocco Lucky Travel,Marrakech Budget Tours,Cherif  Events,Marrakech Experience,","Hotel Mirage d'Atlas,TUI BLUE Riu Tikida Garden,In Club Palmeraie Resorts,M Riads & Boutique Hotels,","Dar Zellij,Limoni Cafe and Restaurant,Palais Soleiman,Ling Ling Marrakech,", ,+212 649-995354,"Metou • Cuisine d'Asie ; 21-22 Centre Commercial Annakhil,, Marrakech 40000 Morocco ;  ; METOU - CUISINE D’ASIE is a charming little canteen, where gourmets and gourmets who love Asian cuisine will finally find what they are looking for! All the flavors and scents of Vietnam, China, Laos and Thailand blend delicately through a selection of traditional and authentic dishes. With more than 30 years of experience, Chef Metou will make your taste buds travel! ; Chinese, Asian, Thai, Vietnamese ; Lunch, Dinner, Brunch, Late Night, Drinks ; Takeout, Reservations, Seating, Wheelchair Accessible, Accepts Credit Cards ;   ; Morocco Lucky Travel,Marrakech Budget Tours,Cherif  Events,Marrakech Experience, ; Hotel Mirage d'Atlas,TUI BLUE Riu Tikida Garden,In Club Palmeraie Resorts,M Riads & Boutique Hotels,","metou,cuisine,centre,commercial,annakhil,marrakech,morocco,chinese,asian,thai,vietnamese,lunch,dinner,brunch,late,night,drink,takeout,reservation,seating,wheelchair,accessible,accept,credit,card,morocco,lucky,travel,marrakech,budget,tour,cherif,event,marrakech,experience,hotel,mirage,tui,blue,riu,tikida,garden,club,palmeraie,resort,riads,boutique,hotel",256,
257,Le Petit Dakar,+212 684-906046,," In case the rain took you by surprise during the promenade around MACMA Musee d'Art et de Culture de Marrakech, stop by this restaurant. Visit this place and try African and Mediterranean cuisines. The fabulous service is something these restaurateurs care about. ","Rue ibn aicha En face clinique du Sud, Marrakech 40000 Morocco","African, Mediterranean","Takeaway , Booking ,", , MAD 30 - MAD 69,10AM-11PM,"Morocco Vacation Tour,Erg Morocco Tours,Marrakech Jumping,Imzi Tours Inter - Day Tours,","Hotel Mont Gueliz,Diwane Hotel & Spa Marrakech,Hotel Les Ambassadeurs,Riad Zeroual,","Pointbar,Barometre Marrakech,Bombay Marrakech,VITA NOVA,", ,+212 684-906046,"Le Petit Dakar ; Rue ibn aicha En face clinique du Sud, Marrakech 40000 Morocco ;  ;  In case the rain took you by surprise during the promenade around MACMA Musee d'Art et de Culture de Marrakech, stop by this restaurant. Visit this place and try African and Mediterranean cuisines. The fabulous service is something these restaurateurs care about.  ; African, Mediterranean ;   ; Takeaway , Booking , ;   ; Morocco Vacation Tour,Erg Morocco Tours,Marrakech Jumping,Imzi Tours Inter - Day Tours, ; Hotel Mont Gueliz,Diwane Hotel & Spa Marrakech,Hotel Les Ambassadeurs,Riad Zeroual,","le,petit,dakar,rue,ibn,aicha,en,face,clinique,du,sud,marrakech,morocco,african,mediterranean,takeaway,booking,morocco,vacation,tour,erg,morocco,tour,marrakech,jumping,imzi,tour,inter,day,tour,hotel,mont,gueliz,diwane,hotel,spa,marrakech,hotel,le,ambassadeurs,riad,zeroual",257,/maps/dir//Le+Petit+Dakar+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef8a8f3ef733:0xf181ea652fbb5c84?sa=X
258,Yassalam Restaurant,+212 5243-77380,http://www.facebook.com/yassalam.marrakech,"Beautiful Moroccan restaurant close to the place JAMAA LAFNA.
Typical Moroccan food .. Come discover or rediscover our Moroccan specialties like the famous Tangia or our different tagines ...
The Yassalam restaurant awaits you with open arms ....","N9 Rue des Banques, Marrakech 40000 Morocco","Moroccan, Spanish, Middle Eastern","Reservations, Seating, Table Service","Lunch, Breakfast, Dinner, Brunch, Drinks",MAD 10 - MAD 100,11AM-11PM,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Food Markets of Marrakech,Marrakech Tour Guide,","Hotel Mimosa,Riad Wazani Square & Spa,Dar Fakir,Riad Tahyra,","Cafe Babouche,My Taher,Corner Cafe,Zeitoun Cafe Jemaa El Fnaa,", ,+212 5243-77380,"Yassalam Restaurant ; N9 Rue des Banques, Marrakech 40000 Morocco ;  ; Beautiful Moroccan restaurant close to the place JAMAA LAFNA.
Typical Moroccan food .. Come discover or rediscover our Moroccan specialties like the famous Tangia or our different tagines ...
The Yassalam restaurant awaits you with open arms .... ; Moroccan, Spanish, Middle Eastern ; Lunch, Breakfast, Dinner, Brunch, Drinks ; Reservations, Seating, Table Service ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Food Markets of Marrakech,Marrakech Tour Guide, ; Hotel Mimosa,Riad Wazani Square & Spa,Dar Fakir,Riad Tahyra,","yassalam,restaurant,rue,de,banques,marrakech,morocco,moroccan,spanish,middle,eastern,lunch,breakfast,dinner,brunch,drink,reservation,seating,table,service,dune,expedition,musee,yves,saint,laurent,marrakech,food,market,marrakech,marrakech,tour,guide,hotel,mimosa,riad,wazani,square,spa,dar,fakir,riad,tahyra",258,/maps/dir//Yassalam+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef1c1da57827:0xec8669bb9b7e49f5?sa=X
259,Chez Karim, +212677127870 ,https://restaurantguru.com/link/45071838," Mediterranean and Moroccan cuisines under the direction of the popular chef are great at this place. Don't forget to taste nicely cooked couscous and good tajine at this restaurant. The efficient staff works hard, stays positive and makes this place wonderful. ","15 Place des Ferblantiers, Marrakech Morocco","Moroccan, Mediterranean, Middle Eastern,Halal",Seating,"Lunch, Dinner", ,,"Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour,","Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","Restaurant Naima,chez ahmed,African-chic,Le Chineur,", , +212677127870 ,"Chez Karim ; 15 Place des Ferblantiers, Marrakech Morocco ;  ;  Mediterranean and Moroccan cuisines under the direction of the popular chef are great at this place. Don't forget to taste nicely cooked couscous and good tajine at this restaurant. The efficient staff works hard, stays positive and makes this place wonderful.  ; Moroccan, Mediterranean, Middle Eastern,Halal ; Lunch, Dinner ; Seating ;   ; Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour, ; Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","chez,karim,place,de,ferblantiers,marrakech,morocco,moroccan,mediterranean,middle,eastern,halal,lunch,dinner,seating,amazonite,galerie,dawiya,happy,morocco,day,trip,al,nour,hotel,teranga,riad,dar,zen,ryad,de,eaux,riad,akwass,targa",259,
260,Marcelona Restaurant,+212 5243-39100,https://www.movenpick.com/en/africa/morocco/marrakech/marrakech/restaurants/restaurants/marcelona-restaurant/," Mediterranean and Moroccan cuisines are what Marcelona Restaurant boasts. This place offers you tasty arroz con pollo, vegetable noodles and grilled potatoes. It's time to try good cream caramel, bread pudding and chocolate mousse cakes. Delicious White russian is among the most popular drinks at this spot. A collection of great white hot chocolate, chocolate frappe or iced cappuccino is offered to guests. The service is always cool, take it into account. ","Avenue Mohammed VI Movenpick Hotel, Marrakech 40020 Morocco","Mediterranean, Moroccan, Spanish","Booking ,", , ,,"Cyber Parc Arsat Moulay Abdeslam,Menara Mall,Uncovered Morocco,Casino de Marrakech,","Palais Soltan Riad & Spa,Savoy Le Grand Hotel,Le Meridien N'Fis,Hotel El Andalous Lounge & Spa,","Buddha-Bar Marrakech,Malak Emeraude,Cocotte,Ice Rolls Marrakech,", ,+212 5243-39100,"Marcelona Restaurant ; Avenue Mohammed VI Movenpick Hotel, Marrakech 40020 Morocco ;  ;  Mediterranean and Moroccan cuisines are what Marcelona Restaurant boasts. This place offers you tasty arroz con pollo, vegetable noodles and grilled potatoes. It's time to try good cream caramel, bread pudding and chocolate mousse cakes. Delicious White russian is among the most popular drinks at this spot. A collection of great white hot chocolate, chocolate frappe or iced cappuccino is offered to guests. The service is always cool, take it into account.  ; Mediterranean, Moroccan, Spanish ;   ; Booking , ;   ; Cyber Parc Arsat Moulay Abdeslam,Menara Mall,Uncovered Morocco,Casino de Marrakech, ; Palais Soltan Riad & Spa,Savoy Le Grand Hotel,Le Meridien N'Fis,Hotel El Andalous Lounge & Spa,","marcelona,restaurant,avenue,mohammed,vi,movenpick,hotel,marrakech,morocco,mediterranean,moroccan,spanish,booking,cyber,parc,arsat,moulay,abdeslam,menara,mall,uncovered,morocco,casino,de,marrakech,palais,soltan,riad,spa,savoy,le,grand,hotel,le,meridien,hotel,el,andalous,lounge,spa",260,/maps/dir//Marcelona+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef6387d224b1:0x1496b39786ae1edb?sa=X
