,Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,tfidf,id,gps
10,Menara Gardens and Pavilion,"AddressAvenue de la Menara, Marrakech 40000 Morocco","The Menara is a vast garden planted with olive trees laid out under the Almoahades dynasty about 45 minutes walk from the Jemaa el-Fna square, in the center of Marrakech, Morocco. At the heart of this garden, a large basin at the foot of a pavilion serves as a water reservoir to irrigate crops.",http://www.jardin-menara.com/,,12:00 AM - 11:59 PM,Historic Walking Areas • Gardens,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Menara Gardens and Pavilion ; AddressAvenue de la Menara, Marrakech 40000 Morocco ; The Menara is a vast garden planted with olive trees laid out under the Almoahades dynasty about 45 minutes walk from the Jemaa el-Fna square, in the center of Marrakech, Morocco. At the heart of this garden, a large basin at the foot of a pavilion serves as a water reservoir to irrigate crops. ; Historic Walking Areas • Gardens ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","menara,garden,pavilion,addressavenue,de,la,menara,marrakech,morocco,menara,vast,garden,plant,olive,tree,lay,almoahades,dynasty,minute,walk,jemaa,square,center,marrakech,morocco,heart,garden,large,basin,foot,pavilion,serve,water,reservoir,irrigate,crop,historic,walk,area,garden,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",10,/maps/dir//Menara+Gardens+and+Pavilion+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafeee649f63e07:0x5d8e3627f4ecc87e?sa=X
11,Mellah," Mellah, Medina 40000, Marrakech","This is the Jewish neighborhood in Marrakech. Here you´ll find the Lezama Synagoge, an important historical site, as well as other eating and shopping opportunities.",,< 1 hour,,Historic Sites,"Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,BlackChich Cafe Restaurant,Le Medina Privilege Riad & Spa Restaurant,","Palácio da Bahia,Slat Al Azama Synagogue,Place des Ferblantiers,Miaara Jewish Cemetery,El Badi Palace,Musée Tiskiwin,Dar Si Said Museum,Jemaa el-Fnaa,Medina of Marrakesh,","Mellah ;  Mellah, Medina 40000, Marrakech ; This is the Jewish neighborhood in Marrakech. Here you´ll find the Lezama Synagoge, an important historical site, as well as other eating and shopping opportunities. ; Historic Sites ; Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,BlackChich Cafe Restaurant,Le Medina Privilege Riad & Spa Restaurant,","mellah,mellah,medina,marrakech,jewish,neighborhood,marrakech,find,lezama,synagoge,important,historical,site,well,eating,shopping,opportunity,historic,site,mazel,مزال,cafe,restaurant,angsana,si,say,dar,anika,kitchen,le,tanjia,fox,art,food,koulchi,zine,viavia,morocco,marrakech,blackchich,cafe,restaurant,le,medina,privilege,riad,spa,restaurant",11,
12,Tanneries,"J2MC+P83, avenue Bab El Debbagh, Marrakech 40000",Leather tanning is the major industry in the city. It’s definitely worth a walk through this neighborhood.,http://www.trek-morocco-desert.co.uk/,< 1 hour,,Neighborhoods,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,Menara Gardens and Pavilion,","Tanneries ; J2MC+P83, avenue Bab El Debbagh, Marrakech 40000 ; Leather tanning is the major industry in the city. It’s definitely worth a walk through this neighborhood. ; Neighborhoods ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","tannery,avenue,bab,el,debbagh,marrakech,leather,tanning,major,industry,city,definitely,worth,walk,neighborhood,neighborhood,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",12,
13,La Palmeraie,"Sidi Yahya La Palmeraie, Marrakech 40000","Currently, the palm grove is considered a luxury area; it is at the centre of an urban complex that includes residences, hotels and golf courses. For the moment, the palm grove still retains its mystical atmosphere.

The palm grove is still a source of wealth for the city. Apart from the dates and wood that are extracted from the palm trees, the latter create a favorable ecosystem for the fruit trees and plantations that grow in the palm grove.",+212666-238473,,,Neighborhoods • Points of Interest & Landmarks • Parks,", '', ,","Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,The Orientalist Museum of Marrakech,Boucharouite Museum,Dar El Bacha - Musee des Confluences,Maison de la Photographie,","La Palmeraie ; Sidi Yahya La Palmeraie, Marrakech 40000 ; Currently, the palm grove is considered a luxury area; it is at the centre of an urban complex that includes residences, hotels and golf courses. For the moment, the palm grove still retains its mystical atmosphere.

The palm grove is still a source of wealth for the city. Apart from the dates and wood that are extracted from the palm trees, the latter create a favorable ecosystem for the fruit trees and plantations that grow in the palm grove. ; Neighborhoods • Points of Interest & Landmarks • Parks ; , '', ,","la,palmeraie,sidi,yahya,la,palmeraie,marrakech,currently,palm,grove,consider,luxury,area,centre,urban,complex,include,residence,hotel,golf,course,moment,palm,grove,still,retain,mystical,atmosphere,palm,grove,still,source,wealth,city,apart,date,wood,extract,palm,tree,latter,create,favorable,ecosystem,fruit,tree,plantation,grow,palm,grove,neighborhood,point,interest,landmark,park",13,/maps/dir//La+Palmeraie+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafede7100a5fe7:0x71eb32768292736c?sa=X
14,Bab Agnaou,"AddressRue Oqba Ben Nafaa, Marrakech 40000 Morocco","Bab Agnaou is one of the nineteen Babs of Marrakech, Morocco. It was built in the 12th century, at the time of the Almohad dynasty.
Bab Agnou is the entrance to the royal kasbah in the southern part of the medina of Marrakech.",,< 1 hour,,Historic Sites • Points of Interest & Landmarks,"Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Le Medina Privilege Riad & Spa Restaurant,La Table de La Sultana,Mazel مزال Cafe,Dar Anika Kitchen,Le Makassar,ViaVia Morocco Marrakech,","Saadian Tombs,Palácio da Bahia,El Badi Palace,Jemaa el-Fnaa,Cactus Thiemann,Koutoubia Mosque,Medina of Marrakesh,Musée Tiskiwin,Place des Ferblantiers,","Bab Agnaou ; AddressRue Oqba Ben Nafaa, Marrakech 40000 Morocco ; Bab Agnaou is one of the nineteen Babs of Marrakech, Morocco. It was built in the 12th century, at the time of the Almohad dynasty.
Bab Agnou is the entrance to the royal kasbah in the southern part of the medina of Marrakech. ; Historic Sites • Points of Interest & Landmarks ; Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Le Medina Privilege Riad & Spa Restaurant,La Table de La Sultana,Mazel مزال Cafe,Dar Anika Kitchen,Le Makassar,ViaVia Morocco Marrakech,","bab,agnaou,addressrue,oqba,ben,nafaa,marrakech,morocco,bab,agnaou,one,nineteen,babs,marrakech,morocco,build,century,time,almohad,dynasty,bab,agnou,entrance,royal,kasbah,southern,part,medina,marrakech,historic,site,point,interest,landmark,zeitoun,cafe,kasbah,la,table,de,la,kasbah,la,villa,de,orangers,restaurant,le,medina,privilege,riad,spa,restaurant,la,table,de,la,sultana,mazel,مزال,cafe,dar,anika,kitchen,le,makassar,viavia,morocco,marrakech",14,
15,Slat Al Azama Synagogue,"AddressDerb Saka, Marrakech 40000 Morocco","The Salat al-Azama Synagogue or Slat el Azama, Al Zama or Lazama is a synagogue located in the city of Marrakech, Morocco.
Initially built in 1492, the year in which the Jews were expelled from Spain, the current building dates from the turn of the 19th century and the 20th century.",https://www.tripadvisor.com/RestaurantsNear-g293734-d13142841-Slat_Al_Azama_Synagogue-Marrakech_Marrakech_Safi.html,,,ligious Sites,"Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,BlackChich Cafe Restaurant,Le Tanjia,Fox Art Food,Casa Lalla Restaurant,Koulchi Zine,Le Medina Privilege Riad & Spa Restaurant,","Palácio da Bahia,Mellah,El Badi Palace,Place des Ferblantiers,Musée Tiskiwin,Dar Si Said Museum,Miaara Jewish Cemetery,Jemaa el-Fnaa,Cactus Thiemann,","Slat Al Azama Synagogue ; AddressDerb Saka, Marrakech 40000 Morocco ; The Salat al-Azama Synagogue or Slat el Azama, Al Zama or Lazama is a synagogue located in the city of Marrakech, Morocco.
Initially built in 1492, the year in which the Jews were expelled from Spain, the current building dates from the turn of the 19th century and the 20th century. ; ligious Sites ; Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,BlackChich Cafe Restaurant,Le Tanjia,Fox Art Food,Casa Lalla Restaurant,Koulchi Zine,Le Medina Privilege Riad & Spa Restaurant,","slat,al,azama,synagogue,addressderb,saka,marrakech,morocco,salat,synagogue,slat,el,azama,al,zama,lazama,synagogue,locate,city,marrakech,morocco,initially,build,year,jew,expel,spain,current,building,date,turn,century,century,ligious,site,mazel,مزال,cafe,restaurant,angsana,si,say,dar,anika,kitchen,blackchich,cafe,restaurant,le,tanjia,fox,art,food,casa,lalla,restaurant,koulchi,zine,le,medina,privilege,riad,spa,restaurant",15,/maps/dir//Salat+Al+Azama+Synagogue+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4797f85f7b:0x3780b550a408289?sa=X
16,Miaara Jewish Cemetery,"Av. Taoulat El Miara, Marrakech 45000","Located in the originally Jewish quarter of Mellah , the Jewish cemetery of Miaara bears witness to the long history of the Jewish community in Marrakech . 
Over 500 years old , this vast space contains tombs with a simple appearance and varying sizes , dating from several centuries as well as a few years . 
On the left are many anonymous graves , testimony of the epidemics that raged in the city forcing a rapid burial of the  bodies .",http://www.cimetierejuifmarrakech.com/,,,Cemeteries,"Restaurant Angsana Si Said,Mazel مزال Cafe,Le Tanjia,La Table Al Badia at Riad Al Badia,Dar Anika Kitchen,BlackChich Cafe Restaurant,A.Montana,Naranj,Casa Lalla Restaurant,","Palácio da Bahia,Mellah,Musée Tiskiwin,Dar Si Said Museum,Slat Al Azama Synagogue,El Badi Palace,Place des Ferblantiers,Jemaa el-Fnaa,Sahara Riders,","Miaara Jewish Cemetery ; Av. Taoulat El Miara, Marrakech 45000 ; Located in the originally Jewish quarter of Mellah , the Jewish cemetery of Miaara bears witness to the long history of the Jewish community in Marrakech . 
Over 500 years old , this vast space contains tombs with a simple appearance and varying sizes , dating from several centuries as well as a few years . 
On the left are many anonymous graves , testimony of the epidemics that raged in the city forcing a rapid burial of the  bodies . ; Cemeteries ; Restaurant Angsana Si Said,Mazel مزال Cafe,Le Tanjia,La Table Al Badia at Riad Al Badia,Dar Anika Kitchen,BlackChich Cafe Restaurant,A.Montana,Naranj,Casa Lalla Restaurant,","miaara,jewish,cemetery,av,taoulat,el,miara,marrakech,locate,originally,jewish,quarter,mellah,jewish,cemetery,miaara,bear,witness,long,history,jewish,community,marrakech,year,old,vast,space,contain,tomb,simple,appearance,varying,size,date,several,century,well,year,left,many,anonymous,graf,testimony,epidemic,rag,city,force,rapid,burial,body,cemetery,restaurant,angsana,si,say,mazel,مزال,cafe,le,tanjia,la,table,al,badia,riad,al,badia,dar,anika,kitchen,blackchich,cafe,restaurant,naranj,casa,lalla,restaurant",16,
17,Paroisse des Saints Martyrs,"JXHV+V86, Rue de Imam Ali, Marrakech 40020",The Church of the Holy Martyrs is a Catholic church located in the Guéliz district of Marrakech. It is the only church in the region. It depends on the archdiocese of Rabat.,http://www.terremaroc.com/articolo-tutte-le-informazioni-culti-ed-edifici-religiosi-marrakech-la-chiesa-cattolica-news-_197.html,1-2 hours,6:00 PM - 7:30 PM,Points of Interest & Landmarks • Churches & Cathedrals,"Gm Cafe Gourmet,L'Ô A LA BOUCHE - Marrakech,Exotic Bali,Zeitoun Guéliz,Katsura,Dameh,16 Cafe,Restaurant Red House,L'Adresse Gueliz,",", '', ,","Paroisse des Saints Martyrs ; JXHV+V86, Rue de Imam Ali, Marrakech 40020 ; The Church of the Holy Martyrs is a Catholic church located in the Guéliz district of Marrakech. It is the only church in the region. It depends on the archdiocese of Rabat. ; Points of Interest & Landmarks • Churches & Cathedrals ; Gm Cafe Gourmet,L'Ô A LA BOUCHE - Marrakech,Exotic Bali,Zeitoun Guéliz,Katsura,Dameh,16 Cafe,Restaurant Red House,L'Adresse Gueliz,","paroisse,des,saint,martyr,rue,de,imam,ali,marrakech,church,holy,martyr,catholic,church,locate,guéliz,district,marrakech,church,region,depend,archdiocese,rabat,point,interest,landmark,church,cathedral,gm,cafe,gourmet,la,bouche,marrakech,exotic,bali,zeitoun,guéliz,katsura,cafe,restaurant,red,house,gueliz",17,/maps/dir//Paroisse+des+Saints+Martyrs+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8b13f52e53:0x136f377b75ea3953?sa=X
18,Kasbah Mosque,"23, rue de la Kasbah , marrakech 40000, Morocco","The Kasbah Mosque of Marrakech, also known as the Moulay El Yazid Mosque, the Mansouria Mosque, its founder's laqab, or the Golden Apple Mosque is a mosque originally built by the Almohad Caliph Yaqub al-Mansur in 1185-1190.",,1-2 hours,,ligious Sites,"Le Medina Privilege Riad & Spa Restaurant,Le Makassar,Les Jardins de la Medina,Cafe Clock,La Table de La Sultana,Zeitoun Cafe Kasbah,La Table de La Kasbah,Mazel مزال Cafe,Le Jasmin Restaurant and Bar,","Palácio da Bahia,Saadian Tombs,Cactus Thiemann,El Badi Palace,Bab Agnaou,Jemaa el-Fnaa,Medina of Marrakesh,Mellah,Jardin Majorelle,","Kasbah Mosque ; 23, rue de la Kasbah , marrakech 40000, Morocco ; The Kasbah Mosque of Marrakech, also known as the Moulay El Yazid Mosque, the Mansouria Mosque, its founder's laqab, or the Golden Apple Mosque is a mosque originally built by the Almohad Caliph Yaqub al-Mansur in 1185-1190. ; ligious Sites ; Le Medina Privilege Riad & Spa Restaurant,Le Makassar,Les Jardins de la Medina,Cafe Clock,La Table de La Sultana,Zeitoun Cafe Kasbah,La Table de La Kasbah,Mazel مزال Cafe,Le Jasmin Restaurant and Bar,","kasbah,mosque,rue,de,la,kasbah,marrakech,morocco,kasbah,mosque,marrakech,also,know,moulay,el,yazid,mosque,mansouria,mosque,founder,laqab,golden,apple,mosque,mosque,originally,build,almohad,caliph,yaqub,ligious,site,le,medina,privilege,riad,spa,restaurant,le,makassar,les,jardins,de,la,medina,cafe,clock,la,table,de,la,sultana,zeitoun,cafe,kasbah,la,table,de,la,kasbah,mazel,مزال,cafe,le,jasmin,restaurant,bar",18,
19,Marrakech Ramparts,"Marrakech 40000 , Morocco",These are the walls that surround the city. Circle them on foot or on a rented bike.,,1-2 hours,12:00 AM - 11:59 PM,Historic Sites • Points of Interest & Landmarks • Historic Walking Areas,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Medersa Ben Youssef,Menara Gardens and Pavilion,","Marrakech Ramparts ; Marrakech 40000 , Morocco ; These are the walls that surround the city. Circle them on foot or on a rented bike. ; Historic Sites • Points of Interest & Landmarks • Historic Walking Areas ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","marrakech,rampart,marrakech,morocco,wall,surround,city,circle,foot,rent,bike,historic,site,point,interest,landmark,historic,walk,area,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",19,
20,Rue Dar el Bacha,"Dar El Bacha, Rue Lalla Fatima Zahra, Marrakech 40000","Dar el Bacha, more rarely called Dar el Glaoui, is a palace located in the medina of Marrakech, Morocco. It belonged to Thami El Glaoui, powerful pasha of Marrakech during the protectorate.",,,,Neighborhoods,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Ksar Es Saoussan,Kui-Zin Médina,Beats Burger,",", '', ,","Rue Dar el Bacha ; Dar El Bacha, Rue Lalla Fatima Zahra, Marrakech 40000 ; Dar el Bacha, more rarely called Dar el Glaoui, is a palace located in the medina of Marrakech, Morocco. It belonged to Thami El Glaoui, powerful pasha of Marrakech during the protectorate. ; Neighborhoods ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Ksar Es Saoussan,Kui-Zin Médina,Beats Burger,","rue,dar,el,bacha,dar,el,bacha,rue,lalla,fatima,zahra,marrakech,dar,el,bacha,rarely,call,dar,el,glaoui,palace,locate,medina,marrakech,morocco,belong,thami,el,glaoui,powerful,pasha,marrakech,protectorate,neighborhood,bazaar,café,la,table,du,riad,riad,living,maison,terrasse,de,la,fontaine,dar,cherifa,chez,yassine,ksar,es,saoussan,médina,beat,burger",20,
21,Rue du Mouassine Morocco Travel Guide,"AddressRue Mouassine, Marrakech 42152 Morocco","Marrakech’s hippest shopping destination is rue Mouassine in the Marrakech Medina. Bab Laksour and the Marrakech medina’s Mouassine district is an intimate introduction for first time visitors to Marrakech. The Mouassine in the Marrakech medina boasts many trendy, fashionable boutiques, antiques dealers along with arts and crafts shops. The Mouassine has become one of the best places to shop in Marrakech. One of the easiest ways to get to Bab Laksour and the Mouassine is from Avenue Mohammed V just after the Ensemble de Artisans which leads to rue Laksour. This route offers an alternative to entering via the Jemma El Fna and the crowded souks.",,,9:00 AM - 9:00 PM,Scenic Drives,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Gastro MK at Maison MK,Ksar Es Saoussan,Taj Moroccan Food,",", '', ,","Rue du Mouassine Morocco Travel Guide ; AddressRue Mouassine, Marrakech 42152 Morocco ; Marrakech’s hippest shopping destination is rue Mouassine in the Marrakech Medina. Bab Laksour and the Marrakech medina’s Mouassine district is an intimate introduction for first time visitors to Marrakech. The Mouassine in the Marrakech medina boasts many trendy, fashionable boutiques, antiques dealers along with arts and crafts shops. The Mouassine has become one of the best places to shop in Marrakech. One of the easiest ways to get to Bab Laksour and the Mouassine is from Avenue Mohammed V just after the Ensemble de Artisans which leads to rue Laksour. This route offers an alternative to entering via the Jemma El Fna and the crowded souks. ; Scenic Drives ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Gastro MK at Maison MK,Ksar Es Saoussan,Taj Moroccan Food,","rue,du,mouassine,morocco,travel,guide,addressrue,mouassine,marrakech,morocco,marrakech,hip,shopping,destination,rue,mouassine,marrakech,medina,bab,laksour,marrakech,medina,mouassine,district,intimate,introduction,first,time,visitor,marrakech,mouassine,marrakech,medina,boast,many,trendy,fashionable,boutique,antique,dealer,along,art,craft,shop,mouassine,become,one,best,place,shop,marrakech,one,easy,way,get,bab,laksour,mouassine,avenue,mohammed,ensemble,de,artisan,lead,rue,laksour,route,offer,alternative,enter,via,jemma,el,fna,crowded,souk,scenic,drive,bazaar,café,la,table,du,riad,riad,living,maison,terrasse,de,la,fontaine,dar,cherifa,chez,yassine,gastro,mk,maison,mk,ksar,es,saoussan,taj,moroccan,food",21,
22,Adouar Marrakech,"AddressDouar Oulad Mansour Wahat Sidi Brahim, Marrakech 40000 Morocco","At Little Morocco Park, visitors discover a culture. Day and night, they leave for a great trip in traditional Morocco in total freedom! UNFORGETTABLE MOMENTS Coming to Little Morocco Park is the promise of unforgettable moments, full of emotions to share with family or friends. And if travelers come to Little Morocco Park to vibrate and be moved, it is that we are carriers of values and universal emotions that touch the hearts of visitors of all ages. THE PARK OF EMOTION Our space and our activities are designed to make you discover the richness of the culture of Morocco, but the emotion remains at the heart of the concept of Little Morocco Park. Visitors must be transported by the poetry of a text, the beauty of a gesture, the purity of a music ... A UNIQUE EMOTION It only takes a second to give birth to this unique emotion, this thrill!",http://www.adouar.com/,More than 3 hours,9:00 AM - 8:00 PM,Points of Interest & Landmarks,"La Finca Marrakech,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,La Table Des Oliviers,Restaurant Les Frères,Le Caravane,","Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,Boucharouite Museum,The Orientalist Museum of Marrakech,Koubba Almoravid,Musée Tiskiwin,","Adouar Marrakech ; AddressDouar Oulad Mansour Wahat Sidi Brahim, Marrakech 40000 Morocco ; At Little Morocco Park, visitors discover a culture. Day and night, they leave for a great trip in traditional Morocco in total freedom! UNFORGETTABLE MOMENTS Coming to Little Morocco Park is the promise of unforgettable moments, full of emotions to share with family or friends. And if travelers come to Little Morocco Park to vibrate and be moved, it is that we are carriers of values and universal emotions that touch the hearts of visitors of all ages. THE PARK OF EMOTION Our space and our activities are designed to make you discover the richness of the culture of Morocco, but the emotion remains at the heart of the concept of Little Morocco Park. Visitors must be transported by the poetry of a text, the beauty of a gesture, the purity of a music ... A UNIQUE EMOTION It only takes a second to give birth to this unique emotion, this thrill! ; Points of Interest & Landmarks ; La Finca Marrakech,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,La Table Des Oliviers,Restaurant Les Frères,Le Caravane,","adouar,marrakech,addressdouar,oulad,mansour,wahat,sidi,brahim,marrakech,morocco,little,morocco,park,visitor,discover,culture,day,night,leave,great,trip,traditional,morocco,total,freedom,unforgettable,moment,come,little,morocco,park,promise,unforgettable,moment,full,emotion,share,family,friend,traveler,come,little,morocco,park,vibrate,move,carrier,value,universal,emotion,touch,heart,visitor,age,park,emotion,space,activity,design,make,discover,richness,culture,morocco,emotion,remain,heart,concept,little,morocco,park,visitor,must,transport,poetry,text,beauty,gesture,purity,music,unique,emotion,take,second,give,birth,unique,emotion,thrill,point,interest,landmark,la,finca,marrakech,samakhouse,la,rotisserie,los,pollos,hermanos,le,bistrot,de,artiste,copacabana,hotel,restaurant,amnougour,la,table,de,olivier,restaurant,le,frères,le,caravane",22,/maps/dir//Adouar+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdaff3a5a5b3c079:0x28a083a7009fb433?sa=X
23,Royal Palace of Marrakech,"Royal Palace , Marrakech, Morocco","Although you are not allowed to go inside the palace, it is still interesting to see from the outside from an architectural and historical standpoint. Plus, you’ll get a breather from the hustle and bustle of the center of town.",,< 1 hour,,Architectural Buildings, , ,"Royal Palace of Marrakech ; Royal Palace , Marrakech, Morocco ; Although you are not allowed to go inside the palace, it is still interesting to see from the outside from an architectural and historical standpoint. Plus, you’ll get a breather from the hustle and bustle of the center of town. ; Architectural Buildings ;  ","royal,palace,marrakech,royal,palace,marrakech,morocco,although,allow,go,inside,palace,still,interesting,see,outside,architectural,historical,standpoint,plus,get,breather,hustle,bustle,center,town,architectural,building",23,
24,Dar Bellarj,"J2J7+WCM, Marrakech 40000","Dar Bellarj, or the foundation for the protection of Moroccan culture... in all its forms. Here, in this ancient sanctuary of wounded storks, of which Susanna Biedermann and Max Alioth are the founders, the Dar Bellarj Foundation has opened, which offers a series of temporary exhibitions, concerts and workshops. The place alone is worth the trip.",https://www.tripadvisor.com/Attractions-g293734-Activities-c47-Marrakech_Marrakech_Safi.html,,,Points of Interest & Landmarks, , ,"Dar Bellarj ; J2J7+WCM, Marrakech 40000 ; Dar Bellarj, or the foundation for the protection of Moroccan culture... in all its forms. Here, in this ancient sanctuary of wounded storks, of which Susanna Biedermann and Max Alioth are the founders, the Dar Bellarj Foundation has opened, which offers a series of temporary exhibitions, concerts and workshops. The place alone is worth the trip. ; Points of Interest & Landmarks ;  ","dar,bellarj,marrakech,dar,bellarj,foundation,protection,moroccan,culture,form,ancient,sanctuary,wounded,stork,susanna,biedermann,max,alioth,founder,dar,bellarj,foundation,open,offer,series,temporary,exhibition,concert,workshop,place,alone,worth,trip,point,interest,landmark",24,/maps/dir//Dar+Bellarj+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6bd3c38d41:0xbf9ad9a1a39ab07c?sa=X
25,Souk El Khemis,"AddressBab El Kemich Marakech,Marocco, Marrakech 40000 Morocco","A souk, open to all, where we find craftsmen, blacksmiths and some antique dealers. On the other side of the el Khemis garden, every day of the week, and especially on Thursday and Sunday mornings, street vendors spread their goods on the ground. There is everything, from the most banal to the most unusual!",https://www.tripadvisor.com/Attractions-g293734-Activities-c47-Marrakech_Marrakech_Safi.html,,,Points of Interest & Landmarks, , ,"Souk El Khemis ; AddressBab El Kemich Marakech,Marocco, Marrakech 40000 Morocco ; A souk, open to all, where we find craftsmen, blacksmiths and some antique dealers. On the other side of the el Khemis garden, every day of the week, and especially on Thursday and Sunday mornings, street vendors spread their goods on the ground. There is everything, from the most banal to the most unusual! ; Points of Interest & Landmarks ;  ","souk,el,khemis,addressbab,el,kemich,marakech,marocco,marrakech,morocco,souk,open,find,craftsman,blacksmith,antique,dealer,side,el,khemis,garden,every,day,week,especially,thursday,sunday,morning,street,vendor,spread,good,ground,everything,banal,unusual,point,interest,landmark",25,/maps/dir//Souk+El+Khemis+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee7106877eef:0xc9d16f42cc35e6c9?sa=X
26,Koubba Almoravid,"AddressYoussef Mosque, Marrakech 40000 Morocco","The qoubba al-Baadiyn or al-Barudiyyin or Almoravid is a religious building in Marrakech erected in 1117 by Ali ben Youssef. It is the last vestige of the Almoravid dynasty in Morocco.
The qubba was the center of ablution for believers going to the mosque.",https://www.tripadvisor.com/RestaurantsNear-g293734-d478124-Koubba_Almoravid-Marrakech_Marrakech_Safi.html,,9:00 AM - 7:00 PM,Points of Interest & Landmarks,", '', ,","Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,Boucharouite Museum,Berber Cultural Center,The Orientalist Museum of Marrakech,Adouar Marrakech,","Koubba Almoravid ; AddressYoussef Mosque, Marrakech 40000 Morocco ; The qoubba al-Baadiyn or al-Barudiyyin or Almoravid is a religious building in Marrakech erected in 1117 by Ali ben Youssef. It is the last vestige of the Almoravid dynasty in Morocco.
The qubba was the center of ablution for believers going to the mosque. ; Points of Interest & Landmarks ; , '', ,","koubba,almoravid,addressyoussef,mosque,marrakech,morocco,qoubba,almoravid,religious,building,marrakech,erect,ali,ben,youssef,last,vestige,almoravid,dynasty,morocco,qubba,center,ablution,believer,go,mosque,point,interest,landmark",26,/maps/dir//Koubba+Almoravid+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6984fdcb71:0xfd88824c8bb12cf5?sa=X
